,prediction,spread,approach,words_present,0,1,2,3,5,6,4
0,34,100,only-action,True,10220473.0,850791,,,,,
1,37,100,only-action,True,9426051.0,1645213,,,,,
2,39,100,only-action,True,4029652.0,7041612,,,,,
3,41,100,only-action,True,9672217.0,1399047,,,,,
4,45,100,only-action,True,7862858.0,3208406,,,,,
5,48,100,only-action,True,7987726.0,3083538,,,,,
6,34,100,only-action,True,9002645.0,1217828,509489.0,341302.0,,,
7,37,100,only-action,True,7043602.0,2382449,968441.0,676772.0,,,
8,39,100,only-action,True,2505862.0,1876883,48658.0,4195593.0,920478.0,884701.0,639089.0
9,41,100,only-action,True,6175825.0,3496392,1399047.0,,,,
10,45,100,only-action,True,3854876.0,4007982,3208406.0,,,,
11,48,100,only-action,True,6736493.0,1251233,3083538.0,,,,
12,34,20,only-action,True,1473661.0,170216,,,,,
13,37,20,only-action,True,1339601.0,304276,,,,,
14,39,20,only-action,True,539614.0,1104263,,,,,
15,41,20,only-action,True,1395160.0,248717,,,,,
16,45,20,only-action,True,1131087.0,512790,,,,,
17,48,20,only-action,True,1201109.0,442768,,,,,
18,34,20,only-action,True,1224034.0,249627,105022.0,65194.0,,,
19,37,20,only-action,True,895226.0,444375,186035.0,118241.0,,,
20,39,20,only-action,True,356471.0,286388,4938.0,692414.0,120523.0,111538.0,71605.0
21,41,20,only-action,True,815449.0,579711,248717.0,,,,
22,45,20,only-action,True,569895.0,561192,512790.0,,,,
23,48,20,only-action,True,1058308.0,142801,442768.0,,,,
24,28,100,only-action,False,8972270.0,2098994,,,,,
25,30,100,only-action,False,7304138.0,3767126,,,,,
26,31,100,only-action,False,4029652.0,7041612,,,,,
27,32,100,only-action,False,9103849.0,1967415,,,,,
28,34,100,only-action,False,7392235.0,3679029,,,,,
29,36,100,only-action,False,7987726.0,3083538,,,,,
30,28,100,only-action,False,,8972270,851764.0,1247230.0,,,
31,30,100,only-action,False,,7304138,1854049.0,1913077.0,,,
32,31,100,only-action,False,2505862.0,1876883,48658.0,4195593.0,920478.0,884701.0,639089.0
33,32,100,only-action,False,6030113.0,3073736,1967415.0,,,,
34,34,100,only-action,False,3305320.0,4086915,3679029.0,,,,
35,36,100,only-action,False,6736493.0,1251233,3083538.0,,,,
36,28,20,only-action,False,1234004.0,409873,,,,,
37,30,20,only-action,False,1018370.0,625507,,,,,
38,31,20,only-action,False,539614.0,1104263,,,,,
39,32,20,only-action,False,1298420.0,345457,,,,,
40,34,20,only-action,False,1071389.0,572488,,,,,
41,36,20,only-action,False,1201109.0,442768,,,,,
42,28,20,only-action,False,,1234004,218995.0,190878.0,,,
43,30,20,only-action,False,,1018370,374407.0,251100.0,,,
44,31,20,only-action,False,356471.0,286388,4938.0,692414.0,120523.0,111538.0,71605.0
45,32,20,only-action,False,843357.0,455063,345457.0,,,,
46,34,20,only-action,False,519250.0,552139,572488.0,,,,
47,36,20,only-action,False,1058308.0,142801,442768.0,,,,
48,28,60,only-action,False,4247824.0,1243327,,,,,
49,30,60,only-action,False,3478711.0,2012440,,,,,
50,31,60,only-action,False,1864291.0,3626860,,,,,
51,32,60,only-action,False,4397097.0,1094054,,,,,
52,34,60,only-action,False,3604796.0,1886355,,,,,
53,36,60,only-action,False,4002192.0,1488959,,,,,
54,28,60,only-action,False,,4247824,609322.0,634005.0,,,
55,30,60,only-action,False,,3478711,1131895.0,880545.0,,,
56,31,60,only-action,False,1212649.0,947119,17801.0,2241290.0,420650.0,391372.0,260270.0
57,32,60,only-action,False,2864335.0,1532762,1094054.0,,,,
58,34,60,only-action,False,1696904.0,1907892,1886355.0,,,,
59,36,60,only-action,False,3469106.0,533086,1488959.0,,,,
60,28,20,end-to-end,False,3012095.0,409873,,,,,
61,30,20,end-to-end,False,2796461.0,625507,,,,,
62,31,20,end-to-end,False,2317705.0,1104263,,,,,
63,32,20,end-to-end,False,3076511.0,345457,,,,,
64,34,20,end-to-end,False,2849480.0,572488,,,,,
65,36,20,end-to-end,False,2979200.0,442768,,,,,
66,28,20,end-to-end,False,1778091.0,1234004,218995.0,190878.0,,,
67,30,20,end-to-end,False,1778091.0,1018370,374407.0,251100.0,,,
68,31,20,end-to-end,False,2134562.0,286388,4938.0,692414.0,120523.0,111538.0,71605.0
69,32,20,end-to-end,False,2621448.0,455063,345457.0,,,,
70,34,20,end-to-end,False,2297341.0,552139,572488.0,,,,
71,36,20,end-to-end,False,2836399.0,142801,442768.0,,,,
72,28,60,end-to-end,False,14613375.0,1243327,,,,,
73,30,60,end-to-end,False,13844262.0,2012440,,,,,
74,31,60,end-to-end,False,12229842.0,3626860,,,,,
75,32,60,end-to-end,False,14762581.0,1094121,,,,,
76,34,60,end-to-end,False,13970347.0,1886355,,,,,
77,36,60,end-to-end,False,14367743.0,1488959,,,,,
78,28,60,end-to-end,False,10365551.0,4247824,609322.0,634005.0,,,
79,30,60,end-to-end,False,10365551.0,3478711,1131895.0,880545.0,,,
80,31,60,end-to-end,False,11578200.0,947119,17801.0,2241290.0,420650.0,391372.0,260270.0
81,32,60,end-to-end,False,13229805.0,1532776,1094121.0,,,,
82,34,60,end-to-end,False,12062455.0,1907892,1886355.0,,,,
83,36,60,end-to-end,False,13834657.0,533086,1488959.0,,,,
